,product,started,closed,winner,price
226,Adega 8 garrafas,2022-01-06 11:00:00,2022-01-06 18:32:42,icoelho,"R$ 36,66"
227,Pacote 50 Lances,2022-01-06 18:00:00,2022-01-06 18:09:34,Edmil,"R$ 2,10"
228,GoPro HERO 9,2022-01-06 13:00:00,2022-01-06 18:04:07,maxsilva1,"R$ 31,23"
229,Cervejeira Metalfrio VN50FL,2022-01-06 17:00:00,2022-01-06 17:34:23,BARÚ_SUSHI,"R$ 4,60"
230,Pacote 50 Lances,2022-01-06 15:00:00,2022-01-06 15:35:17,dillas,"R$ 5,45"
231,Aspirador de P,2022-01-06 14:00:00,2022-01-06 14:33:08,email,"R$ 4,35"
232,PIX de 1.000,2022-01-06 08:00:00,2022-01-06 14:12:34,p.caldana,"R$ 42,33"
233,Pacote 100 Lances,2022-01-06 12:00:00,2022-01-06 12:29:23,papudinhos,"R$ 4,57"
234,IPhone 13 Pro,2022-01-06 10:00:00,2022-01-06 10:35:16,C ZAGUINI,"R$ 5,97"
235,Pacote 50 Lances,2022-01-06 09:00:00,2022-01-06 09:10:17,BETO ROCHA,"R$ 1,56"
236,Caixa de Som,2022-01-06 07:00:00,2022-01-06 07:25:53,S.A.T.O,"R$ 3,30"
237,Pacote 50 Lances,2022-01-06 06:00:00,2022-01-06 06:04:45,email,"R$ 1,28"
238,Refrigerador Brastemp Frost,2022-01-05 19:00:00,2022-01-06 02:25:37,cadinho90,"R$ 57,89"
239,iPad Air 10,2022-01-05 20:30:00,2022-01-05 23:58:19,Maccheri,"R$ 22,04"
240,Apple Watch Series,2022-01-05 11:00:00,2022-01-05 12:41:48,email,"R$ 10,87"
241,Pacote 50 Lances,2022-01-05 09:00:00,2022-01-05 09:31:07,Cfds,"R$ 4,86"
242,Cama Box Colch,2022-01-05 08:00:00,2022-01-05 08:04:48,email,"R$ 1,74"
243,Caixa de Som,2022-01-05 07:00:00,2022-01-05 07:51:56,xandytimão,"R$ 6,34"
244,A Intel Core,2022-01-04 22:00:00,2022-01-05 06:28:54,email,"R$ 69,70"
245,Pacote 50 Lances,2022-01-05 06:00:00,2022-01-05 06:06:47,email,"R$ 1,68"
246,Pacote 100 Lances,2022-01-04 21:00:00,2022-01-04 23:46:40,papudinhos,"R$ 19,39"
247,Patinete Elétrico Foston,2022-01-04 19:30:00,2022-01-04 23:04:32,euvouvencersim,"R$ 19,65"
248,Pacote 100 Lances,2022-01-04 23:00:00,2022-01-04 23:01:08,Rocklose,"R$ 0,84"
249,Smart TV LED,2022-01-04 20:30:00,2022-01-04 22:37:30,Pacheco123,"R$ 12,71"
