,product,started,closed,winner,price
204,Pacote 50 Lances,2021-09-21 18:00:00,2021-09-21 18:21:45,ERICOFONSECA,"R$ 3,79"
205,Smart TV 4K,2021-09-21 16:00:00,2021-09-21 17:58:34,F15 Roldan,"R$ 19,25"
206,Caixa de Som,2021-09-21 11:00:00,2021-09-21 17:33:39,C ZAGUINI,"R$ 48,46"
207,Câmera Insta360 One,2021-09-21 13:00:00,2021-09-21 16:06:52,taynan_vozza,"R$ 21,47"
208,Pacote 50 Lances,2021-09-21 15:00:00,2021-09-21 15:43:53,email,"R$ 7,41"
209,PIX de 200,2021-09-21 14:00:00,2021-09-21 14:02:34,Jupim,"R$ 2,73"
210,Pacote 100 Lances,2021-09-21 12:00:00,2021-09-21 12:20:56,proxm8,"R$ 4,12"
211,Pacote 50 Lances,2021-09-21 09:00:00,2021-09-21 09:12:13,bmonteiro,"R$ 2,08"
212,Bicicleta Aro 29,2021-09-21 07:00:00,2021-09-21 08:59:24,Jed_London,"R$ 12,68"
213,GoPro HERO 9,2021-09-21 08:00:00,2021-09-21 08:10:12,DanySanti,"R$ 1,47"
214,Pacote 50 Lances,2021-09-21 06:00:00,2021-09-21 06:17:33,napereiraa,"R$ 2,73"
215,MacBook Air Intel,2021-09-20 22:00:00,2021-09-21 03:52:46,METAXY,"R$ 42,17"
216,5 Digital Edition,2021-09-20 17:00:00,2021-09-21 03:26:47,Eduardomad,"R$ 80,00"
217,Whisky Royal Salute,2021-09-20 20:30:00,2021-09-21 00:35:21,email,"R$ 24,60"
218,Pacote 100 Lances,2021-09-20 23:00:00,2021-09-20 23:01:07,SurflayPX,"R$ 1,34"
219,Pacote 100 Lances,2021-09-20 21:00:00,2021-09-20 22:15:18,Odlinavi,"R$ 12,12"
220,Patinete Elétrico Maj,2021-09-20 20:00:00,2021-09-20 22:13:27,T.A.K.A,"R$ 15,78"
221,PIX de 200,2021-09-20 19:30:00,2021-09-20 21:06:29,30961505753,"R$ 13,05"
222,Caixa de Som,2021-09-20 19:00:00,2021-09-20 19:26:39,RiquinhoRico,"R$ 4,95"
223,Pacote 50 Lances,2021-09-20 18:00:00,2021-09-20 18:44:20,email,"R$ 6,64"
224,Smart TV 75,2021-09-20 16:00:00,2021-09-20 18:07:10,VéinhoZL,"R$ 21,58"
225,PIX de 1.000,2021-09-20 11:00:00,2021-09-20 17:43:24,cadumusic,"R$ 50,57"
226,Pacote 50 Lances,2021-09-20 15:00:00,2021-09-20 16:12:43,email,"R$ 9,78"
227,Tablet How 7,2021-09-20 14:00:00,2021-09-20 15:04:38,welsonk22,"R$ 9,63"
228,iPhone 12 Pro,2021-09-20 10:00:00,2021-09-20 14:32:04,CarlosLito,"R$ 39,22"
229,Chaise Hungria Trama,2021-09-20 13:00:00,2021-09-20 13:44:42,alexandre992,"R$ 5,08"
230,Câmera Insta360 One,2021-09-20 07:00:00,2021-09-20 12:15:21,Kaka-lima-77,"R$ 27,10"
231,Pacote 100 Lances,2021-09-20 12:00:00,2021-09-20 12:12:21,Celsoricardoab,"R$ 3,51"
232,Esteira Ergométrica El,2021-09-20 08:00:00,2021-09-20 11:10:14,MAEDA,"R$ 21,48"
233,Pacote 50 Lances,2021-09-20 09:00:00,2021-09-20 09:01:17,email,"R$ 0,98"
234,Pacote 50 Lances,2021-09-20 06:00:00,2021-09-20 06:15:47,Proeza,"R$ 3,90"
235,Smart TV LED,2021-09-19 16:00:00,2021-09-20 04:23:59,LEOFOREX,"R$ 109,70"
236,Caixa de Som,2021-09-19 20:30:00,2021-09-20 02:12:06,belo ribas,"R$ 34,04"
237,Pacote 100 Lances,2021-09-19 23:00:00,2021-09-19 23:24:27,email,"R$ 3,59"
238,A Intel Core,2021-09-19 22:00:00,2021-09-19 22:43:07,email,"R$ 6,73"
239,Pacote 100 Lances,2021-09-19 21:00:00,2021-09-19 22:13:50,email,"R$ 10,74"
240,Parafusadeira e Furadeira,2021-09-19 19:30:00,2021-09-19 21:06:12,Gilliardd,"R$ 13,84"
241,Aspirador Robô Mondial,2021-09-19 17:00:00,2021-09-19 20:45:44,j.menezes,"R$ 28,58"
242,Patinete Elétrico Foston,2021-09-19 19:00:00,2021-09-19 19:46:03,ramoni,"R$ 6,39"
243,Pacote 50 Lances,2021-09-19 18:00:00,2021-09-19 18:27:44,Lucas200300,"R$ 4,45"
244,Pacote 50 Lances,2021-09-19 15:00:00,2021-09-19 15:00:15,walterclance,"R$ 1,51"
245,5 Digital Edition,2021-09-19 13:00:00,2021-09-19 14:59:44,Fabiomonti7,"R$ 23,17"
246,Cadeira de escrit,2021-09-19 14:00:00,2021-09-19 14:59:26,Rudney10,"R$ 11,02"
247,MacBook Air Intel,2021-09-18 22:00:00,2021-09-19 12:44:17,marcelolatam,"R$ 92,23"
248,Pacote 100 Lances,2021-09-19 12:00:00,2021-09-19 12:29:06,Janainajulia,"R$ 4,15"
249,Apple Watch Series,2021-09-19 11:00:00,2021-09-19 12:22:34,cadumusic,"R$ 8,81"
250,PIX de 200,2021-09-19 08:00:00,2021-09-19 10:26:28,TigreSL,"R$ 16,09"
